epoch,optimizer,train_loss,train_accuracy,val_loss,val_accuracy,time_s,step,val_perplexity
7,muon_sam_frob,6.5866,16.84,6.4068,17.28,,700.0,
8,muon_sam_frob,6.1762,18.0,6.0126,18.59,,800.0,
9,muon_sam_frob,5.7882,19.68,5.6181,20.57,,900.0,
10,muon_sam_frob,5.4188,21.65,5.279,22.31,,1000.0,
11,muon_sam_frob,5.1171,23.31,5.009,23.86,,1100.0,
12,muon_sam_frob,4.8731,24.78,4.7831,25.2,,1200.0,
13,muon_sam_frob,4.6698,26.15,4.5921,26.55,,1300.0,
14,muon_sam_frob,4.4951,27.45,4.4271,27.94,,1400.0,
1,muon_sam_stale,10.9622,0.0,10.9574,0.0,,100.0,
2,muon_sam_stale,10.5017,5.86,10.0774,10.68,,200.0,
3,muon_sam_stale,9.3639,12.05,8.8413,12.91,,300.0,
4,muon_sam_stale,8.3251,13.74,7.9755,14.21,,400.0,
5,muon_sam_stale,7.6104,14.83,7.359,15.22,,500.0,
6,muon_sam_stale,7.053,15.85,6.8413,16.27,,600.0,
7,muon_sam_stale,6.5818,16.88,6.4004,17.35,,700.0,
8,muon_sam_stale,6.1665,18.13,5.9972,18.79,,800.0,
9,muon_sam_stale,5.7649,19.94,5.591,20.84,,900.0,
10,muon_sam_stale,5.3915,21.92,5.2543,22.51,,1000.0,
11,muon_sam_stale,5.0911,23.57,4.9824,24.14,,1100.0,
12,muon_sam_stale,4.8481,25.04,4.7606,25.46,,1200.0,
13,muon_sam_stale,4.6461,26.4,4.5711,26.9,,1300.0,
14,muon_sam_stale,4.4722,27.73,4.4056,28.16,,1400.0,
1,sgd,10.9548,0.0,10.9574,0.0,,100.0,
2,sgd,10.3639,3.42,9.7065,4.44,,200.0,
3,sgd,9.105,6.41,8.7637,7.65,,300.0,
4,sgd,8.5519,7.71,8.4374,8.08,,400.0,
5,sgd,8.329,8.11,8.27,8.4,,500.0,
6,sgd,8.1881,8.47,8.1496,8.78,,600.0,
7,sgd,8.0788,8.78,8.0502,9.0,,700.0,
8,sgd,7.9846,9.04,7.9618,9.34,,800.0,
9,sgd,7.901,9.44,7.883,9.68,,900.0,
10,sgd,7.8252,9.76,7.8108,9.93,,1000.0,
11,sgd,7.7526,10.11,7.7399,10.26,,1100.0,
12,sgd,7.683,10.45,7.6722,10.6,,1200.0,
13,sgd,7.5984,10.89,7.5672,11.03,,1300.0,
14,sgd,7.4629,11.42,7.4197,11.54,,1400.0,
