epoch,train_loss,val_acc,time_s
1,12.866484411621094,25.212279555845853,443.205171585083
2,12.757739688110352,25.01632919660353,443.51085662841797
3,12.703190969848633,25.146962769431745,443.50735116004944
4,12.619571911621094,24.951012410189417,443.53367924690247
5,12.377759822082519,24.951012410189417,444.0655219554901
6,12.092267440795899,25.01632919660353,443.4432020187378
7,11.763382130432129,24.88569562377531,443.5127532482147
8,11.310030969238282,25.081645983017637,443.3339352607727
9,10.759307818603515,25.01632919660353,443.79490542411804
10,10.122362030029297,25.01632919660353,443.2631299495697
