epoch,train_loss,val_acc,time_s
1,2.962568144607544,25.081645983017637,440.7848882675171
2,2.957326823425293,25.081645983017637,442.2148525714874
3,2.930357906341553,24.951012410189417,442.2444808483124
4,2.873033213043213,24.559111691704768,441.84992003440857
5,2.776646224594116,24.49379490529066,442.22541999816895
6,2.643403112411499,24.42847811887655,441.6865484714508
7,2.475909889984131,24.8203788373612,441.69146823883057
8,2.281486772918701,24.755062050947092,441.8636260032654
9,2.0809988178253174,25.408229915088178,442.04347491264343
10,1.9501517101287842,25.66949706074461,441.5481746196747
