epoch,optimizer,train_loss,val_loss,Perplexity,time_s,step
3,sgd,11.0169,11.0176,22026.47,754.7,300
4,sgd,11.0111,11.0092,22026.47,755.3,400
5,sgd,11.0024,10.9965,22026.47,755.0,500
6,sgd,10.9892,10.9784,22026.47,754.3,600
7,sgd,10.9743,10.9634,22026.47,756.4,700
8,sgd,10.963,10.9506,22026.47,753.7,800
9,sgd,10.9517,10.9367,22026.47,754.5,900
10,sgd,10.9394,10.9215,22026.47,754.5,1000
11,sgd,10.9274,10.9078,22026.47,757.8,1100
12,sgd,10.9143,10.8906,22026.47,758.3,1200
13,sgd,10.9006,10.8753,22026.47,760.8,1300
14,sgd,10.8872,10.8583,22026.47,758.1,1400
15,sgd,10.8721,10.8394,22026.47,758.4,1500
16,sgd,10.8564,10.8213,22026.47,757.3,1600
17,sgd,10.8404,10.8011,22026.47,755.8,1700
18,sgd,10.8223,10.7795,22026.47,756.0,1800
19,sgd,10.8043,10.7579,22026.47,757.6,1900
20,sgd,10.7869,10.7386,22026.47,756.2,2000
