epoch,train_loss,val_acc,time_s
1,2.6846454147338865,25.01632919660353,439.6805303096771
2,2.6797121368408203,25.01632919660353,442.0807499885559
3,2.6613250717163086,24.951012410189417,441.91208696365356
4,2.6218232543945312,24.88569562377531,442.10389733314514
5,2.5531495388031007,24.624428478118876,442.3148002624512
6,2.4538001857757568,24.689745264532984,442.0691387653351
7,2.32833680229187,24.16721097322012,441.9463279247284
8,2.1845628101348877,24.10189418680601,441.9800794124603
9,2.018836040306091,24.951012410189417,442.4918191432953
10,1.869463446044922,24.16721097322012,441.934369802475
