epoch,train_loss,val_acc,time_s
1,3.179619592189789,26.322664924885697,232.49898076057434
2,3.1750330115318297,26.322664924885697,232.696524143219
3,3.150282202911377,26.25734813847159,232.8516230583191
4,3.094700992965698,26.25734813847159,233.22582578659058
5,2.996361919212341,25.930764206401044,232.79056882858276
6,2.8683716126441956,25.34291312867407,232.79321146011353
7,2.7489855501174927,25.996080992815152,232.95202565193176
8,2.6122917498588563,25.800130633572827,233.22076845169067
9,2.453117115879059,25.27759634225996,232.79050970077515
10,2.299331320667267,25.146962769431745,232.8619282245636
