epoch,train_loss,val_acc,time_s
1,2.311207154083252,25.66949706074461,231.31872463226318
2,2.3103437710762025,25.865447419986936,230.86983346939087
3,2.306544386482239,25.800130633572827,231.07464361190796
4,2.29926522026062,26.06139777922926,230.97479510307312
5,2.2885663027763368,26.06139777922926,231.45508933067322
6,2.2775212230682373,26.06139777922926,230.94357752799988
7,2.2621691750526427,26.126714565643372,230.81090831756592
8,2.2445420972824097,26.126714565643372,230.94992351531982
9,2.2260259516716006,26.126714565643372,231.2965226173401
10,2.2096427187919616,26.25734813847159,230.9327757358551
