epoch,train_loss,val_acc,time_s
1,2.415240723705292,27.041149575440887,279.3089156150818
2,2.4108987197875975,26.97583278902678,279.3699505329132
3,2.3886401743888857,26.845199216198562,279.5289990901947
4,2.336481376171112,27.041149575440887,279.1243579387665
5,2.2480748947143554,27.302416721097323,279.05218720436096
6,2.128635462331772,27.36773350751143,279.0640392303467
7,1.9988805849075317,27.75963422599608,279.4927861690521
8,1.8854785636901856,27.694317439581972,279.0248293876648
9,1.8056033931732178,28.28216851730895,279.1997015476227
10,1.7369984813690185,28.543435662965383,279.12879371643066
